,Show ID,Show Name,Genre,TV-Rating,Description,Available on Hulu,Available on Netflix
128,80105030,Bad Education,"British TV Shows, TV Comedies",TV-MA,"A history teacher at the posh Abbey Grove, Alfie Wickers is something truly special: He's his school's, if not England's, single worst educator.",No,Yes
129,80178427,Bad Guys,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-MA,"Reinstated to eradicate the worst crimes in the city, a detective requests the release of three convicts to enlist their help in catching the felons.",No,Yes
130,80214772,Bad Guys: Vile City,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-MA,"Ordered to take down a villainous business leader who controls the city, a prosecutor gathers a team of men who may not be so clean themselves.",No,Yes
131,80122193,Badalte Rishton Ki Dastaan,"International TV Shows, TV Dramas",TV-14,"When a man is killed, his wife and his lover – both of whom are pregnant with his children – come under the thumb of his brutal, dictatorial father.",No,Yes
132,81174992,Bakugan: Battle Planet,"Anime Series, Kids' TV",TV-PG,Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.,No,Yes
133,80159714,Bala Loca,"International TV Shows, Spanish-Language TV Shows, TV Dramas",TV-MA,A veteran journalist starting a news site about corruption in Chile stumbles on a big story when a fellow investigative reporter dies suspiciously.,No,Yes
134,80241689,Bangkok Bachelors,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,Three young men leading carefree bachelors’ lives in the city face the trials of true love when they meet three beautiful women.,No,Yes
135,81152643,Bangkok Buddies,"International TV Shows, TV Comedies, TV Dramas",TV-14,"Living under the same roof, a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires.",No,Yes
136,80242036,Bangkok Love Stories: Hey You!,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,A loving couple become rivals when Belle opens a fusion bistro next to her ex-boyfriend Kram’s traditional restaurant in Bangkok’s chic Ari district.,No,Yes
137,80236408,Bangkok Love Stories: Innocence,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,"From a teenage parkour enthusiast to a bawdy restaurateur, an eclectic group of characters find romance in Bangkok's glittering Silom district.",No,Yes
138,80242137,Bangkok Love Stories: Objects of Affection,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,A kind computer repairman falls for a street-smart graffiti artist whose multiple personality disorder worsens after she witnesses a double murder.,No,Yes
139,80241590,Bangkok Love Stories: Plead,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,"In Bangkok's Chinatown, a spirited digital marketing expert falls for a blind fortune-teller, but their love is predestined to end in disaster.",No,Yes
140,80192734,Barbie Dreamhouse Adventures,Kids' TV,TV-Y,Get to know Barbie and her BFFs – including next-door neighbor Ken – in this animated vlog of adventures filmed inside her family's new dreamhouse.,No,Yes
141,81184735,Barbie Dreamhouse Adventures: Go Team Roberts,Kids' TV,TV-Y,"As the Roberts family heads to Costa Rica to investigate a mermaid legend, Barbie takes on a summer job at a water park run by a devious boss.",No,Yes
